embedder,language,nclass,model,model_type,feature_type,data_pts,time_sec,energy_kwh,log_date
mDeBERTa-T,merged,2,XGBoost,reg,mean,6120,75.90347080001084,0.0012130085013180374,2025-08-21 19:23:55.140467
mDeBERTa-T,merged,2,XGBoost,reg,mmm,6120,75.85355960398738,0.001217320977332873,2025-08-21 19:25:11.510605
XLM-R-T,merged,2,XGBoost,reg,mean,6120,53.97225622100814,0.0008340289600577645,2025-08-21 19:26:05.994561
XLM-R-T,merged,2,XGBoost,reg,mmm,6120,53.92677034699591,0.000831617723012761,2025-08-21 19:27:00.449810
BGE-M3-S,merged,2,XGBoost,reg,mean,6120,127.2993316189968,0.0020851769511399322,2025-08-21 19:29:08.271421
BGE-M3-S,merged,2,XGBoost,reg,mmm,6120,127.61433790400042,0.002085128881123397,2025-08-21 19:31:16.404132
MiniLM-S,merged,2,XGBoost,reg,mean,6120,58.02977307701076,0.0006563211345460441,2025-08-21 19:32:14.951116
MiniLM-S,merged,2,XGBoost,reg,mmm,6120,57.67130139800429,0.0006490622054150429,2025-08-21 19:33:13.139936
mE5-S,merged,2,XGBoost,reg,mean,6120,58.73353913599567,0.0006490976588663305,2025-08-21 19:34:12.392650
mE5-S,merged,2,XGBoost,reg,mmm,6120,59.91439916299714,0.0006603228593896186,2025-08-21 19:35:12.825670
MPNet-S,merged,2,XGBoost,reg,mean,6120,59.60481388599146,0.0009288112689856636,2025-08-21 20:30:48.008873
MPNet-S,merged,2,XGBoost,reg,mmm,6120,59.19165835798776,0.000926583354249881,2025-08-21 20:31:47.708363
mBERT-T,merged,2,GaussianNB,reg,mean,6120,59.036598339997,0.0009485420705091735,2025-08-21 20:32:47.249394
mBERT-T,merged,2,GaussianNB,reg,mmm,6120,59.23126097601198,0.0009513446606372607,2025-08-21 20:33:46.984042
mT5-T,merged,2,GaussianNB,reg,mean,6120,64.86603721400024,0.0011168372663601688,2025-08-21 20:34:52.364642
mT5-T,merged,2,GaussianNB,reg,mmm,6120,64.56294341699686,0.0010277751228850857,2025-08-21 20:35:57.442886
XGLM-T,merged,2,GaussianNB,reg,mean,6120,140.39825667800324,0.002478311150516886,2025-08-21 20:38:18.344896
