embedder,language,nclass,model,model_type,feature_type,data_pts,time_sec,energy_kwh,log_date
MiniLM-S,chinese,-1,KMeans,reg,mean,750,9.044158935546875,1.7534363136291502e-05,2025-08-25 19:11:57.392210
MiniLM-S,chinese,-1,KMeans,reg,mmm,750,9.333356857299805,1.81450251569277e-05,2025-08-25 19:12:06.727894
mE5-S,chinese,-1,KMeans,reg,mean,750,9.13843584060669,1.7536489147830896e-05,2025-08-25 19:12:15.868426
mE5-S,chinese,-1,KMeans,reg,mmm,750,9.305955410003662,1.7752546048811923e-05,2025-08-25 19:12:25.176596
MPNet-S,chinese,-1,KMeans,reg,mean,750,9.38018274307251,1.7988526992532943e-05,2025-08-25 19:12:34.559329
MPNet-S,chinese,-1,KMeans,reg,mmm,750,9.534158945083618,1.825997422898993e-05,2025-08-25 19:12:44.096117
mBERT-T,chinese,-1,KMeans++,reg,mean,750,8.345080614089966,1.6002561356748144e-05,2025-08-25 19:12:52.443111
mBERT-T,chinese,-1,KMeans++,reg,mmm,750,8.483864784240723,1.6603924950129455e-05,2025-08-25 19:13:00.929072
mT5-T,chinese,-1,KMeans++,reg,mean,750,9.180102109909058,1.755892864059519e-05,2025-08-25 19:13:10.111713
mT5-T,chinese,-1,KMeans++,reg,mmm,750,9.19322395324707,1.7572677341743753e-05,2025-08-25 19:13:19.307383
XGLM-T,chinese,-1,KMeans++,reg,mean,750,9.457772016525269,1.8315092272618674e-05,2025-08-25 19:13:28.767745
XGLM-T,chinese,-1,KMeans++,reg,mmm,750,9.631414651870728,1.8591305671069357e-05,2025-08-25 19:13:38.401340
mDeBERTa-T,chinese,-1,KMeans++,reg,mean,750,9.15578293800354,1.7684790365004247e-05,2025-08-25 19:13:47.559411
mDeBERTa-T,chinese,-1,KMeans++,reg,mmm,750,9.06763505935669,1.7681888365745545e-05,2025-08-25 19:13:56.629190
XLM-R-T,chinese,-1,KMeans++,reg,mean,750,9.300862312316895,1.8069795678191716e-05,2025-08-25 19:14:05.932671
XLM-R-T,chinese,-1,KMeans++,reg,mmm,750,9.40337610244751,1.8033005270045483e-05,2025-08-25 19:14:15.338429
BGE-M3-S,chinese,-1,KMeans++,reg,mean,750,9.531851053237915,1.8111987965820746e-05,2025-08-25 19:14:24.872691
BGE-M3-S,chinese,-1,KMeans++,reg,mmm,750,9.414858102798462,1.8196247357939497e-05,2025-08-25 19:14:34.289965
