FeatureFamily,FeatureVariant,Dataset,Model,TrainingTime,train_silhouette_score,train_calinski_harabasz_score,train_davies_bouldin_score,train_adjusted_rand_score,train_normalized_mutual_info_score,train_v_measure_score,train_homogeneity_score,train_completeness_score,train_f1_score,data_pts,time_sec,energy_kwh,throughput,time_per_sample,energy_per_sample
FE-mDeBERTa-T,mmm,arabic,KMeans++,32.144497393630445,0.0637894760131272,2214.129107506694,2.5165441546013225,0.0879308402283778,0.1747636810574074,0.1747636810574074,0.2092541143483378,0.1500342044739613,0.3116238254415364,1400,80.23912935100088,0.001225148832126,17.447846347831,0.057313663822143486,8.751063086614286e-07
FE-MPNet-S,mean,arabic,KMeans,17.58535840269178,0.1024136900931611,2106.461641570741,3.1391157505014537,0.5962070752696718,0.7354131723854332,0.7354131723854332,0.8318501540874046,0.6590132914494398,0.6840922559761313,1400,32.196324117001495,0.0004249717749268,43.48322482133046,0.022997374369286783,3.0355126780485714e-07
FE-MPNet-S,mean,arabic,KMeans++,5.626123666763306,0.127856291837597,3440.661738222279,2.7319111577855684,0.6307119233805989,0.7492767124820712,0.7492767124820711,0.6722230118915059,0.8462819551362638,0.5852512076565447,1400,32.81381362500542,0.000430624548358,42.664958605516816,0.023438438303575303,3.0758896311285715e-07
FE-MPNet-S,mmm,arabic,KMeans,65.38039530348033,0.0977981673970513,1894.1776240688143,2.998264277471188,0.6814453988132074,0.7606051326235751,0.760605132623575,0.8369436306411504,0.6970284441207394,0.7458968881552417,1400,31.98168943800556,0.0004179659851481,43.77504830424326,0.022844063884289684,2.985471322486429e-07
FE-MPNet-S,mmm,arabic,KMeans++,41.2684815004468,0.1016313615205555,2588.7128197900392,2.721812760019353,0.8433095095142231,0.8383069307202404,0.8383069307202404,0.8376517478776163,0.8389631392888357,0.929003798815468,1400,31.44819810599438,0.0004336906232886,44.5176539298493,0.022462998647138844,3.097790166347143e-07
FE-BGE-M3-S,mean,arabic,KMeans,30.585992328822613,0.070119480541576,1496.1976977286438,3.6585538369116017,0.8384629615928949,0.8532441802860768,0.8532441802860768,0.8514849167090587,0.8550107285868693,0.9237980871305416,1400,71.56349287799094,0.0010546448675812,19.56304735414283,0.051116780627136385,7.53317762558e-07
FE-BGE-M3-S,mean,arabic,KMeans++,74.8203304046765,0.0496147957320834,821.5243401813883,4.698562636842075,0.5805230276916759,0.7640738898640289,0.7640738898640289,0.9028285488586308,0.6622876751522214,0.6978795155126964,1400,72.18374865700025,0.001076862462307,19.39494728449837,0.051559820469285894,7.691874730764286e-07
FE-BGE-M3-S,mmm,arabic,KMeans,32.85305238887668,0.0428384182837185,782.0168153357001,4.842686869596706,0.5453686005276503,0.7542439682438231,0.754243968243823,0.905655952091091,0.6462077941683544,0.7514608197181846,1400,69.18282681099663,0.001054106035374,20.23623584830838,0.049416304864997596,7.529328824099999e-07
FE-BGE-M3-S,mmm,arabic,KMeans++,67.7300437418744,0.0486935153173241,920.6647788204808,4.589847275908746,0.6519876335332206,0.7885631756116201,0.78856317561162,0.9016925364040936,0.7006564717378997,0.6771622035652268,1400,69.0628196639882,0.0010461175414308,20.27139938408871,0.04933058547427728,7.472268153077142e-07
FE-MiniLM-S,mean,arabic,KMeans,35.525515030138195,0.1244864645133014,3451.586604715468,2.453901671436737,0.6737202967225354,0.7191505657077819,0.7191505657077819,0.7617757947480678,0.6810427604325231,0.7730500119735365,1400,26.01145770600124,0.0002590765413646,53.82243532153135,0.018579612647143744,1.8505467240328574e-07
